"filename", "language", "YAML", "Dart", "Markdown", "Swift", "C++", "Properties", "JSON", "Groovy", "XML", "comment", "blank", "total"
"d:\Mini Project\cerebro_smart_parking\README.md", "Markdown", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 7, 17
"d:\Mini Project\cerebro_smart_parking\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 53, 0, 4, 11, 68
"d:\Mini Project\cerebro_smart_parking\android\app\google-services.json", "JSON", 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 48
"d:\Mini Project\cerebro_smart_parking\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 1, 8
"d:\Mini Project\cerebro_smart_parking\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 35, 16, 1, 52
"d:\Mini Project\cerebro_smart_parking\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 2, 13
"d:\Mini Project\cerebro_smart_parking\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 9, 1, 19
"d:\Mini Project\cerebro_smart_parking\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 1, 8
"d:\Mini Project\cerebro_smart_parking\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 5, 33
"d:\Mini Project\cerebro_smart_parking\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"d:\Mini Project\cerebro_smart_parking\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 1, 7
"d:\Mini Project\cerebro_smart_parking\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 4, 12
"d:\Mini Project\cerebro_smart_parking\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"d:\Mini Project\cerebro_smart_parking\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 1, 123
